source_url	title	author	book_journal	pub_date	pub_place	publisher	enumcron	pages_orig	pages_digital	new digital range	page_count	added	updated	item_type	source_id		side notes (poetry, couldn't find article, item unavailable, original pages differentiate)
https://hdl.handle.net/2027/mdp.39076000323746	The Rationale of Verse	Poe, Edgar Allan.	The Southern literary messenger :	1848	New York	AMS Press	v.14 1848	577-85, 673-82	593-601, 689-698	589-597, 685-694	19	2018-01-23 14:46:21	2021-08-05 09:51:37	Article	mdp.39076000323746		
https://hdl.handle.net/2027/inu.32000000683138	The Reason for Rhyme	Maynard, Theodore.	The freeman.	1924	New York, N.Y.	The Freeman Inc.	v.8	469-70	491-492	correct	2	2021-01-14 15:54:24	2023-03-02 13:50:10	Article	inu.32000000683138		
https://hdl.handle.net/2027/mdp.39015027588287	The Reason for Rhyme	Maynard, Theodore	The freeman.	1924	New York, N.Y.	The Freeman Inc.	v.8	469-70	493-494	correct	2	2021-01-14 15:54:23	2023-03-02 13:50:10	Article	mdp.39015027588287		
https://hdl.handle.net/2027/mdp.39015073107768	Reflections on Vers Libre	Eliot, T. S.	New Statesman.	1917	London		v.8 Oct-Mar 1916-1917	518-19	548-549	correct	2	2018-01-23 14:46:40	2021-08-05 09:51:37	Article	mdp.39015073107768		
https://hdl.handle.net/2027/coo.31924057525671	Refrains	R., J. F.	The spectator	1913	London	F.C. Westley	v.110 1913	875-876	893-894	889-890	2	2018-01-23 14:32:52	2021-08-05 09:51:22	Article	coo.31924057525671		
https://hdl.handle.net/2027/hvd.32044092711480	The Relation of Music to Poetry	Hayes, Alfred	Atlantic monthly	1914	Boston	Atlantic Monthly Co.	v.113 (1914)	59-69	71-81	correct	11	2018-01-23 14:42:29	2021-08-05 09:51:29	Article	hvd.32044092711480		
https://hdl.handle.net/2027/uc1.b3924126	Remarks and Experiments on English Hexameters	Cayley, C[harles] B[agot].	Transactions of the Philological Society	1863	Oxford [etc.]	Society by B. Blackwell	1862/63	67-85	79-97	correct	19	2018-01-23 15:09:53	2021-08-05 09:52:09	Article	uc1.b3924126		
https://hdl.handle.net/2027/hvd.32044038400958	Remarks on English Hexameters	Blackie, John Stuart	Horae Hellenicæ, essays and discussion on some important points of Greek philology and antiquity;	1874	London	Macmillan & co.		278-96	296-314	correct	19	2021-08-05 09:54:13	2021-08-05 09:54:13	Excerpt	hvd.32044038400958		
https://hdl.handle.net/2027/hvd.32044092797232	The Reputation of John Donne as Metrist	Nethercot, Arthur H.	The Sewanee review.	1922	Sewanee, Tenn. [etc.]	University of the South [etc.]	v.30 (1922)	463-74	485-496	correct	12	2018-01-23 14:42:22	2021-08-05 09:51:28	Article	hvd.32044092797232		
https://hdl.handle.net/2027/njp.32101076384435	Researches on Rhythmic Action	Miyake, Ishiro	Studies from the Yale psychological laboratory.	1902	New Haven, Conn.	Yale university	v.6-10	1-48	511-558	correct	48	2018-01-23 14:56:05	2021-08-05 09:51:52	Article	njp.32101076384435		
https://hdl.handle.net/2027/njp.32101076378189	Review of An Inquiry into the Principles of Harmony in Language, and of the Mechanism of Verse, Modern and Antient by William Mitford, Esquire.	Herbert, William (Dean of Manchester)	The Edinburgh review.	1805	Edinburgh	A. and C. Black	v.6 (Apr.1805-Jul.1805)	357-386	373-402	correct	30	2018-01-23 14:56:07	2021-08-05 09:51:53	Article	njp.32101076378189		
https://hdl.handle.net/2027/hvd.32044009957044	Review of Longfellow's Ballads and Other Poems	(none)	The North American review.	1842	Boston	O. Everett	v.55 (1842)	114-44	140-170	correct	31	2018-01-23 14:44:11	2021-08-05 09:51:34	Article	hvd.32044009957044		
https://hdl.handle.net/2027/njp.32101076378536	Review of Preface to A Vision of Judgment [1821]	(none)	The Edinburgh review.	1821	Edinburgh	A. and C. Black	v.35 (Mar.1821-Jul.1821)	422-36	436-450	correct	15	2018-01-23 14:56:06	2021-08-05 09:51:53	Article	njp.32101076378536		
https://hdl.handle.net/2027/hvd.hnqbsx	The Rhetoric of Verse in Chaucer	Bright, James W.	Publications of the Modern Language Association of America	1901	Baltimore	The Association	v.16 (1901)	xl-xliii	592-595	correct	4	2018-01-23 14:40:00	2021-08-05 09:51:25	Article	hvd.hnqbsx		
https://hdl.handle.net/2027/hvd.32044012418034	Rhyme	Barnes, William	A philological grammar, grounded upon English, and formed from a comparison of more than sixty languages. Being an introduction to the science of grammar and a help to grammars of all languages, especially English, Latin and Greek.	1854	London 	J.R. Smith		277-308	295-326	correct	32	2021-08-05 09:54:10	2021-08-05 09:54:10	Excerpt	hvd.32044012418034		
https://hdl.handle.net/2027/nyp.33433081756896	Rhyme	Ritchie, Frank	Longman's magazine.	1901	London	Longmans, Green and Co.	v. 37 (Nov. 1900-Apr. 1901)	114-24	128-138	correct	11	2018-01-23 15:04:23	2021-08-05 09:52:05	Article	nyp.33433081756896		
https://hdl.handle.net/2027/chi.55220547	Rhyme and Reason	Matthews, J. Brander	The Galaxy.	1875	New York, N.Y.	W.C. and F.P. Church	v.18 1874-75	618-624	624-630	correct	7	2018-01-23 14:32:22	2021-08-05 09:51:18	Article	chi.55220547		
